R_fighter,B_fighter,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,Win
Jake Matthews,Emil Meek,0.5965030262273033,0.11267605633802817,0,1,0,1,1,2,0.5000000000000009,0.5714285714285721,0.41666666666666696,0.4902733318542935,0.3214285714285714,0,2,0,3,8,4,0.5000000000000009,0.4615384615384608,0.41666666666666696,0.55,0.2608695652173913,1.0,0.0,0.0,0.0,0.0,1.0,2
Callan Potter,Song Kenan,0.4956287827841291,0.11267605633802817,0,2,0,2,3,1,0.6000000000000005,0.35714285714285765,0.41666666666666696,0.3079783637592968,0.03571428571428571,0,0,1,1,1,1,0.6000000000000005,0.38461538461538414,0.41666666666666696,0.4500000000000002,0.6956521739130435,1.0,0.0,0.0,1.0,0.0,0.0,0
Diego Sanchez,Michel Pereira,0.3298587760591795,0.04225352112676056,0,1,0,1,1,1,0.7000000000000002,0.5,0.41666666666666696,0.485855084505786,0.9166666666666666,2,6,0,6,18,12,0.40000000000000124,0.38461538461538414,0.41666666666666696,0.30000000000000004,0.8260869565217394,0.0,1.0,0.0,1.0,0.0,0.0,2
Rafael Dos Anjos,Michael Chiesa,0.415574628551614,0.36619718309859156,1,2,0,3,9,4,0.7000000000000002,0.6428571428571432,0.41666666666666696,0.9173885855251988,0.9761904761904762,4,0,2,5,18,10,0.20000000000000107,0.23076923076923084,0.16666666666666696,0.6000000000000001,0.6956521739130435,0.0,1.0,0.0,0.0,1.0,0.0,0
Conor McGregor,Donald Cerrone,0.35275955935476677,0.9859154929577465,1,4,0,8,23,10,0.7000000000000002,0.5,0.16666666666666696,0.5938510237068965,0.2738095238095238,4,7,0,7,9,2,0.3000000000000007,0.5384615384615383,0.16666666666666696,0.8,0.5217391304347827,0.0,1.0,0.0,1.0,0.0,0.0,2
Geoff Neal,Mike Perry,0.5387091774546067,0.35211267605633806,0,2,0,2,6,5,0.40000000000000124,0.35714285714285765,0.41666666666666696,0.3396720757268425,0.08333333333333333,0,4,0,4,4,0,0.5000000000000009,0.615384615384615,0.41666666666666696,0.40000000000000013,0.43478260869565233,0.0,1.0,0.0,1.0,0.0,0.0,2
Kamaru Usman,Colby Covington,0.8935303883658373,0.4507042253521127,1,3,0,7,10,1,0.5000000000000009,0.4285714285714288,0.41666666666666696,0.9331355117478025,0.38095238095238093,2,10,0,10,10,0,0.6000000000000005,0.6923076923076925,0.41666666666666696,0.55,0.5652173913043479,0.0,0.0,1.0,1.0,0.0,0.0,2
Matt Brown,Ben Saunders,0.20919384215610812,0.47887323943661975,0,3,0,3,9,9,0.8000000000000007,0.7857142857142865,0.41666666666666696,0.24045192864877785,0.6309523809523809,0,1,0,7,14,10,0.6000000000000005,0.615384615384615,0.41666666666666696,0.8,0.8260869565217394,1.0,0.0,0.0,1.0,0.0,0.0,2
Thiago Alves,Tim Means,0.24250830911355442,0.5774647887323944,0,2,0,4,10,9,0.8000000000000007,0.6428571428571432,0.41666666666666696,0.5765079525050639,0.75,1,0,1,7,15,11,0.3000000000000007,0.23076923076923084,0.41666666666666696,0.75,0.7391304347826086,1.0,0.0,0.0,1.0,0.0,0.0,0
Sergio Moraes,James Krause,0.4249603333053127,0.3098591549295775,0,1,0,5,7,3,0.8000000000000007,0.5,0.41666666666666696,0.5356230719658552,0.39285714285714285,1,0,1,4,8,5,0.6000000000000005,0.38461538461538414,0.41666666666666696,0.6500000000000001,0.7826086956521742,1.0,0.0,0.0,1.0,0.0,0.0,0
Warlley Alves,Randy Brown,0.4487170057162071,0.28169014084507044,0,1,0,2,5,3,0.9000000000000004,0.8571428571428577,0.41666666666666696,0.47108873182893846,0.2857142857142857,1,4,0,4,7,3,0.5000000000000009,0.38461538461538414,0.41666666666666696,0.4500000000000002,0.39130434782608714,1.0,0.0,0.0,1.0,0.0,0.0,0
Zelim Imadaev,Danny Roberts,0.250036777067922,0.23943661971830985,0,2,0,2,5,4,0.7000000000000002,0.5714285714285721,0.41666666666666696,0.5943204868154157,0.023809523809523808,0,0,1,0,0,1,0.6000000000000005,0.6923076923076925,0.41666666666666696,0.6000000000000001,0.2173913043478261,1.0,0.0,0.0,0.0,1.0,0.0,0
Rustam Khabilov,Sergey Khandozhko,0.5965030262273033,0.02816901408450704,0,1,0,1,1,0,0.7000000000000002,0.5714285714285721,0.41666666666666696,0.5939213441303245,0.38095238095238093,0,3,0,6,9,3,0.20000000000000107,0.4615384615384608,0.16666666666666696,0.3500000000000001,0.6086956521739131,1.0,0.0,0.0,1.0,0.0,0.0,2
Ramazan Emeev,Anthony Rocco Martin,0.5671125667241089,0.47887323943661975,0,0,2,4,8,5,0.6000000000000005,0.5,0.41666666666666696,0.5943204868154157,0.09523809523809523,0,3,0,3,3,0,0.40000000000000124,0.6923076923076925,0.41666666666666696,0.4500000000000002,0.5652173913043479,0.0,1.0,0.0,1.0,0.0,0.0,0
Stephen Thompson,Vicente Luque,0.43462909013533957,0.295774647887324,0,0,1,6,10,2,0.5000000000000009,0.6428571428571432,0.41666666666666696,0.6310255193807047,0.46428571428571425,2,1,0,7,9,5,0.6000000000000005,0.615384615384615,0.41666666666666696,0.3500000000000001,0.7391304347826086,1.0,0.0,0.0,1.0,0.0,0.0,2
Jorge Masvidal,Nate Diaz,0.6592386633097604,0.8309859154929577,2,5,0,5,15,9,0.6000000000000005,0.7142857142857144,0.41666666666666696,0.20364087912744572,0.5119047619047619,0,2,0,3,11,6,0.5000000000000009,0.5384615384615383,0.41666666666666696,0.7000000000000002,0.6521739130434783,1.0,0.0,0.0,0.0,1.0,0.0,2
