R_fighter,B_fighter,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance,B_Stance,BR_Stance,Win
Diego Sanchez,Michael Chiesa,361.9189453,24,1,2,0,3,8,4,185.42,190.5,170,579.15934,75,2,6,0,6,18,11,177.8,182.88,170,31,37,1,1,0,0
Ismail Naurdiev,Chance Rencountre,522.5,4,0,0,1,1,1,1,187.96,190.5,170,900,3,0,1,0,1,1,0,177.8,187.96,170,32,22,0,1,1,0
Demian Maia,Anthony Rocco Martin,812.5927734,32,0,0,2,4,8,4,182.88,185.42,170,703.7483274,79,2,5,0,7,20,9,185.42,182.88,170,29,41,1,0,-1,2
Bryan Barberena,Randy Brown,586.484375,18,0,1,0,2,4,3,190.5,198.12,170,661.765625,22,0,1,0,2,5,4,182.88,182.88,170,28,30,1,0,-1,0
Rafael Dos Anjos,Kevin Lee,1238.25,36,1,0,1,5,10,4,175.26,195.58,170,1384.270872,74,4,0,2,5,17,9,172.72,177.8,155,26,34,1,0,-1,2
Thiago Alves,Laureano Staropoli,900,3,0,1,0,1,1,0,185.42,180.34,170,847.3105235,61,1,0,1,7,15,10,175.26,177.8,170,26,35,0,0,0,0
Warlley Alves,Sergio Moraes,773.3730469,31,1,0,1,4,8,4,182.88,182.88,170,582.4804688,22,1,4,0,4,6,3,180.34,182.88,170,36,28,0,0,0,2
Alex Oliveira,Mike Perry,556.2421875,20,0,2,0,2,5,4,177.8,180.34,170,422.8668213,30,0,0,1,3,9,5,180.34,193.04,170,27,31,0,0,0,0
Court McGee,Dhiego Lima,341.140625,12,2,0,1,1,2,5,187.96,190.5,170,879.770752,39,1,3,0,3,8,6,180.34,190.5,170,30,34,0,0,0,0
Sultan Aliev,Keita Nakamura,889.3203125,29,0,0,3,1,4,6,180.34,185.42,170,565.5,6,0,0,1,1,1,2,180.34,187.96,170,34,34,0,1,1,2
Alan Jouban,Dwight Grant,599.5,4,0,0,1,1,1,1,185.42,193.04,170,391.0244141,21,0,1,0,3,7,4,182.88,185.42,170,34,37,1,2,1,0
Curtis Millender,Belal Muhammad,886.8515625,22,0,0,1,4,5,3,180.34,182.88,170,484.625,9,0,3,0,3,3,1,187.96,193.04,170,30,31,0,0,0,0
Stephen Thompson,Anthony Pettis,588.3153076,38,4,0,1,5,8,7,177.8,182.88,155,1313.573486,38,2,1,0,7,9,4,182.88,190.5,170,32,36,0,0,0,0
Danny Roberts,Claudio Silva,585.5,7,0,3,0,3,3,0,180.34,180.34,170,568.21875,14,0,2,0,2,5,2,185.42,187.96,170,36,31,1,1,0,0
Darren Till,Jorge Masvidal,793.7394409,41,0,2,0,3,9,6,180.34,187.96,170,791.640625,19,1,1,0,4,5,2,182.88,187.96,185,34,26,1,0,-1,0
Leon Edwards,Gunnar Nelson,419.6738281,23,0,4,0,4,8,3,180.34,182.88,170,1194.289063,30,0,0,1,6,8,2,187.96,187.96,170,30,27,1,2,1,2
Elizeu Zaleski dos Santos,Curtis Millender,814.25,8,0,3,0,3,3,0,187.96,193.04,170,468.171875,18,0,0,1,6,6,1,180.34,185.42,170,31,32,0,0,0,2
Anthony Rocco Martin,Sergio Moraes,646.7460938,28,1,0,1,4,8,3,182.88,182.88,170,725.1855469,29,0,0,2,3,7,4,182.88,185.42,170,36,29,0,0,0,2
Tim Means,Niko Price,234.96875,11,0,1,0,2,4,3,182.88,193.04,170,457.2197113,41,0,2,0,4,10,8,187.96,190.5,170,29,35,0,0,0,0
Alex Morono,Zak Ottow,659.8125,16,0,1,0,1,4,3,180.34,182.88,170,794.625,18,0,2,0,2,4,3,180.34,182.88,170,32,28,0,0,0,2
Tyron Woodley,Kamaru Usman,1302.214844,28,1,9,0,9,9,0,182.88,193.04,170,959.4785156,32,5,1,0,3,9,3,175.26,187.96,170,31,36,0,2,2,0
Diego Sanchez,Mickey Gall,320.6875,8,0,3,0,3,4,1,187.96,187.96,170,605.3186799,73,2,6,0,6,17,11,177.8,182.88,170,27,37,1,2,1,2
Dwight Grant,Carlo Pedersoli Jr.,469.5,4,0,1,0,1,1,1,180.34,190.5,170,900,3,0,0,1,0,0,1,185.42,193.04,170,25,34,2,1,-1,2
