,R_fighter,B_fighter,date,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan,Winner_Blue,Winner_Draw,Winner_Red
490,Neil Magny,Li Jingliang,2020-03-07,853.2138671875,29,0,1,0,4,9,3,0,0,1,2,6,0,0,182.88,180.34,170.0,768.1041202545166,52,0,1,0,7,14,6,0,0,1,7,5,1,0,190.5,203.2,170.0,31.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
499,Alex Oliveira,Max Griffin,2020-03-07,892.125,22,0,0,1,1,3,5,0,1,0,1,1,0,0,180.34,193.04,170.0,780.7167053222656,36,0,0,1,3,9,7,0,0,0,2,4,3,0,180.34,193.04,170.0,34.0,32.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
509,Sean Brady,Ismail Naurdiev,2020-02-29,900.0,9,0,1,0,1,2,1,0,0,0,2,0,0,0,177.8,187.96,170.0,900.0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,177.8,182.88,170.0,23.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
519,Jake Matthews,Emil Meek,2020-02-22,900.0,9,0,1,0,1,1,2,0,0,0,1,0,0,0,180.34,187.96,170.0,746.1142578125,28,0,2,0,3,8,4,0,0,1,2,0,4,1,180.34,185.42,170.0,31.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
522,Callan Potter,Song Kenan,2020-02-22,750.0,9,0,2,0,2,3,1,0,0,0,1,2,0,0,182.88,180.34,170.0,476.5,4,0,0,1,1,1,1,0,0,0,1,0,0,0,182.88,182.88,170.0,29.0,35.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
529,Diego Sanchez,Michel Pereira,2020-02-15,503.5,4,0,1,0,1,1,1,0,0,0,0,1,0,0,185.42,185.42,170.0,739.5796699840574,78,2,6,0,6,18,12,0,0,3,9,6,0,0,177.8,182.88,170.0,26.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
554,Rafael Dos Anjos,Michael Chiesa,2020-01-25,630.95947265625,27,1,2,0,3,9,4,0,0,0,3,0,6,0,185.42,190.5,170.0,1377.817717991769,83,4,0,2,5,18,10,0,0,0,10,4,4,0,172.72,177.8,155.0,32.0,35.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
565,Conor McGregor,Donald Cerrone,2020-01-18,537.5534647605382,71,1,4,0,8,23,10,0,0,0,7,10,6,0,185.42,185.42,155.0,899.3056640625,24,4,7,0,7,9,2,0,1,0,1,7,0,0,175.26,187.96,155.0,36.0,31.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
585,Geoff Neal,Mike Perry,2019-12-14,814.060546875,26,0,2,0,2,6,5,0,0,1,1,4,0,0,177.8,180.34,170.0,523.375,8,0,4,0,4,4,0,0,0,0,1,2,1,0,180.34,190.5,170.0,28.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
590,Kamaru Usman,Colby Covington,2019-12-14,1341.6796875,33,1,3,0,7,10,1,0,0,0,6,2,2,0,180.34,182.88,170.0,1401.107421875,33,2,10,0,10,10,0,0,0,0,8,1,1,0,182.88,193.04,170.0,31.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
594,Matt Brown,Ben Saunders,2019-12-14,324.0712432861328,35,0,3,0,3,9,9,0,0,1,2,3,3,0,187.96,195.58,170.0,376.62840247154236,54,0,1,0,7,14,10,0,0,0,2,10,2,0,182.88,190.5,170.0,36.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
604,Thiago Alves,Tim Means,2019-12-07,373.60985565185547,42,0,2,0,4,10,9,0,0,1,3,5,1,0,187.96,190.5,170.0,873.6552617549896,64,1,0,1,7,15,11,0,0,1,5,7,1,1,175.26,177.8,170.0,35.0,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
610,Sergio Moraes,James Krause,2019-11-16,644.916015625,23,0,1,0,5,7,3,0,0,0,3,2,2,0,187.96,185.42,170.0,813.1865234375,34,1,0,1,4,8,5,0,0,2,2,1,3,0,182.88,182.88,170.0,33.0,37.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
617,Warlley Alves,Randy Brown,2019-11-16,680.2421875,21,0,1,0,2,5,3,0,0,0,2,2,1,0,190.5,198.12,170.0,717.740234375,25,1,4,0,4,7,3,0,0,0,2,1,3,1,180.34,182.88,170.0,29.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
624,Zelim Imadaev,Danny Roberts,2019-11-09,384.8046875,18,0,2,0,2,5,4,0,0,1,1,2,1,0,185.42,187.96,170.0,900.0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,182.88,193.04,170.0,32.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
625,Rustam Khabilov,Sergey Khandozhko,2019-11-09,900.0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,185.42,187.96,170.0,899.40966796875,33,0,3,0,6,9,3,0,0,1,6,1,0,1,172.72,185.42,155.0,27.0,33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
627,Ramazan Emeev,Anthony Rocco Martin,2019-11-09,856.29638671875,35,0,0,2,4,8,5,0,0,0,4,1,3,0,182.88,185.42,170.0,900.0,9,0,3,0,3,3,0,0,0,0,3,0,0,0,177.8,193.04,170.0,29.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
636,Stephen Thompson,Vicente Luque,2019-11-02,659.29345703125,22,0,0,1,6,10,2,0,0,1,0,6,3,0,180.34,190.5,170.0,954.2867431640624,40,2,1,0,7,9,5,0,0,0,4,5,0,0,182.88,190.5,170.0,27.0,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
637,Jorge Masvidal,Nate Diaz,2019-11-02,993.2878923416138,60,2,5,0,5,15,9,0,0,1,3,2,9,0,182.88,193.04,170.0,322.1848602294922,44,0,2,0,3,11,6,0,0,0,5,5,1,0,180.34,187.96,170.0,34.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
